high0	high1	high2	high3	high4	high5	low0	low1	low2	low3	low4	low5	canver.plasmid	early0	early1	early2	unsorted1	unsorte21	unsorted3	unsorted4	unsorted5
220	81	83	335	365	713	309	131	452	51	441	955	179	288	208	85	101	311	136	225	185
1778	315	475	516	527	1252	1085	158	438	129	1026	1574	473	1099	837	224	122	705	327	255	420
1754	94	216	325	564	958	1182	195	157	147	768	884	436	1179	813	182	134	268	325	268	333
1483	641	568	577	604	1146	1068	303	532	226	1159	1653	504	1350	1037	162	422	603	380	395	379
3299	248	467	1078	816	2189	1672	248	866	255	1375	1945	860	2258	1597	332	310	733	705	579	547
4515	418	614	615	590	1195	2749	255	351	199	988	1709	675	1909	1342	258	281	852	387	360	497
2587	335	317	1095	982	1220	2166	260	905	326	1874	2380	785	1850	1340	233	433	1094	723	621	577
3380	366	300	582	537	961	1313	324	489	141	1183	1310	594	1427	1249	235	322	683	428	440	474
1814	226	1186	530	559	1037	1367	205	596	264	1023	1743	550	1442	1063	221	299	585	508	373	437
4873	258	873	685	454	920	2600	375	1649	365	775	1724	685	1864	1429	248	317	1094	659	411	533
2888	584	381	976	662	1247	2105	274	854	306	2369	2021	701	1886	1229	256	290	792	631	617	628
2307	249	419	1072	728	1458	1796	333	653	236	1630	3668	570	1511	1124	225	404	943	471	543	687
4020	509	538	870	660	1194	2021	365	722	326	1418	1831	801	2056	1470	259	403	908	618	540	542
4133	321	375	647	644	739	1876	277	852	189	1896	2436	737	1763	1446	291	297	557	502	549	663
802	1	122	252	309	599	872	155	454	52	504	698	343	792	569	132	150	326	175	242	231
4186	324	548	578	705	1507	2284	339	1203	234	1341	2494	778	2071	1634	278	356	1108	542	458	709
8030	363	2095	780	1003	1972	3565	421	2571	248	2562	2740	1128	3333	2308	396	557	2992	693	667	815
862	536	303	654	484	871	905	498	739	135	970	1654	409	1066	662	142	605	915	416	427	388
3226	498	391	1045	756	1131	1768	539	1045	556	1388	2581	697	1546	1228	281	429	1241	736	529	711
5935	266	546	547	637	1020	2439	289	660	288	1064	1817	661	2017	1492	270	209	999	610	448	521
874	151	240	650	476	717	809	267	391	361	1261	967	446	896	709	167	328	305	470	390	337
1808	437	604	664	403	917	1101	388	1041	324	1038	995	560	1220	1016	260	507	591	481	305	307
2497	150	277	657	601	1059	2032	385	800	90	1234	2060	739	1553	1375	287	386	614	427	440	500
2740	236	892	630	715	927	1832	192	1157	175	1103	1814	778	1734	1633	317	300	955	476	386	415
578	150	169	521	478	850	640	191	429	116	663	1380	331	544	551	136	167	494	198	338	288
1371	98	153	363	296	310	844	87	206	88	541	648	738	1585	1242	290	124	466	200	219	207
1495	1	42	231	190	319	753	105	383	116	260	357	670	1518	1239	256	79	288	181	155	185
1	1	1	52	47	27	37	2	1	28	1	101	466	802	688	188	20	1	17	13	26
3	1	1	15	1	1	67	29	1	5	1	39	635	1107	1101	211	43	28	24	6	1
7	1	1	1	1	1	1	2	1	5	1	1	274	293	358	89	1	1	6	1	1
6	1	1	1	1	1	1	1	1	4	1	1	194	200	227	99	1	1	6	1	1
37	1	1	37	1	1	9	1	1	1	1	1	882	1389	1409	259	1	1	22	3	1
2	1	15	1	1	1	2	4	12	22	1	25	328	501	417	130	1	46	7	1	2
1	1	1	1	1	2	1	1	1	24	1	1	393	477	485	117	1	9	10	1	1
263	1	169	104	178	189	243	88	163	143	230	397	257	435	341	103	117	329	78	101	51
273	329	420	297	405	519	390	437	597	161	974	1324	210	391	314	104	368	735	148	307	191
4256	394	625	766	705	799	2454	343	583	237	1097	1371	1146	3145	2244	456	386	723	492	339	415
8	1	1	1	1	1	1	1	1	1	12	11	679	1218	1046	181	1	1	16	1	14
36	365	823	61	32	10	34	97	61	2022	62	120	474	835	833	158	41	124	25	34	9
1	1	1	12	1	9	13	1	1	1	20	1	691	1188	864	182	5	1	16	1	4
1	1	1	31	1	8	1	1	18	1	1	1	527	574	628	160	1	1	8	2	1
675	131	418	757	444	1264	1017	183	454	279	1160	2403	466	873	667	179	326	660	376	438	570
13	1	1	29	2	44	19	31	1	1	1	1	345	650	574	126	1	1	18	2	1
868	253	329	942	578	1242	1046	214	474	414	995	2284	393	893	650	214	267	511	553	380	507
116	207	37	217	148	358	147	154	162	101	387	661	67	139	93	52	99	235	65	172	102
22	76	51	114	74	137	39	30	88	35	158	493	49	31	26	19	36	160	6	78	22
4837	310	575	1239	996	1244	2571	554	1043	525	2210	2458	739	2093	1639	307	514	950	1013	774	718
1586	330	737	471	828	1242	1269	457	985	237	1598	2073	444	1128	823	211	397	1028	405	476	515
2039	344	153	633	493	941	1611	294	479	226	874	1699	489	1452	1003	204	335	492	589	377	473
134	24	55	140	104	122	141	86	70	37	104	342	226	414	244	102	59	140	55	100	82
552	193	256	246	391	804	586	184	549	119	969	1034	340	754	583	140	191	374	244	355	319
566	301	125	476	423	737	560	173	184	358	817	1115	384	601	560	129	220	230	373	329	439
118	152	310	370	339	457	148	124	297	121	755	839	182	215	179	81	138	425	105	279	189
1727	191	106	440	498	539	914	90	386	84	1071	890	399	1040	797	169	141	367	252	347	301
1901	219	351	583	662	1050	1641	229	670	158	1343	1355	508	1521	1166	238	323	775	437	416	367
2798	587	891	797	788	1110	1615	220	512	183	1906	1585	515	1455	1123	201	239	769	517	625	598
2387	228	397	550	481	1044	1502	455	1523	116	1431	1914	547	1570	1162	226	433	1150	347	338	434
3282	342	234	998	860	921	2117	305	1066	300	1978	2237	768	1921	1630	319	264	653	634	585	545
212	726	237	682	596	1256	344	378	449	242	1288	2065	280	297	380	146	381	432	159	435	318
674	271	357	711	622	964	792	161	749	253	1052	1571	402	596	595	183	211	728	239	329	333
1552	269	398	741	568	1134	1217	399	774	222	1023	1475	591	1087	923	201	335	795	486	379	473
3107	248	147	643	633	1137	1632	416	565	344	1384	1783	603	1477	1230	207	374	579	508	438	418
3621	619	480	1031	675	1244	2514	551	757	333	1630	1732	848	2217	1746	319	540	677	664	592	581
1120	493	1160	662	697	837	990	358	671	189	1439	1561	547	1035	828	231	276	1139	336	577	425
678	169	430	375	551	896	712	294	283	95	994	1477	278	713	647	131	266	292	190	377	362
1245	328	216	884	652	986	1016	238	699	169	1375	1795	519	992	776	280	323	787	395	587	347
2729	408	329	1019	1371	2244	2596	638	628	363	3013	3872	790	1795	1497	306	716	789	823	1065	1056
1079	97	2033	241	412	492	1034	183	623	71	905	877	485	1103	761	206	164	728	203	243	286
2966	273	654	690	527	1088	1653	422	1068	119	1059	1748	801	1665	1517	279	518	1016	688	406	522
3945	439	700	655	956	1494	2238	502	870	272	2017	1977	797	2018	1678	328	445	1030	424	675	601
2669	534	653	1067	1240	2045	1848	377	569	328	2356	2460	783	1814	1362	339	498	867	673	830	686
371	178	699	616	403	1118	523	421	718	272	1301	1530	198	372	472	136	360	1097	196	326	269
2212	787	810	1083	842	1354	2093	561	1620	441	1673	1631	715	1495	1091	301	472	1606	769	591	562
901	378	352	378	330	910	1117	416	437	115	1051	1609	381	873	502	158	308	510	183	375	266
384	27	114	214	182	325	196	18	94	65	255	489	176	299	276	79	54	86	160	104	130
1006	162	38	348	277	531	675	104	334	258	810	973	360	716	674	150	75	319	230	234	163
2515	295	629	662	655	1756	1728	252	838	241	1183	1542	615	1491	1108	228	267	784	444	402	456
575	1	107	259	413	701	398	77	263	119	1071	1122	338	465	502	134	65	175	193	315	229
452	58	338	266	451	609	519	88	548	181	1088	1261	328	670	560	147	119	546	261	327	376
1525	440	466	384	591	1008	1183	338	556	159	1633	1725	565	1341	985	198	340	562	372	492	525
1760	378	671	660	867	1605	1566	424	1504	139	1599	1683	644	1379	1163	219	296	1152	390	631	608
2990	945	972	756	1277	1865	1964	485	1357	353	2426	2726	793	1888	1238	368	379	1380	926	786	992
1913	154	598	654	689	747	1174	121	494	281	1054	1333	363	857	615	142	197	631	412	518	373
1797	207	431	396	580	1037	1216	249	686	342	1541	1486	548	1304	1027	221	132	632	446	385	462
3271	551	469	590	728	1278	2159	689	1015	177	1588	2121	837	1992	1606	330	364	1389	428	652	669
2291	197	2655	552	777	1168	1370	359	755	192	1303	1657	739	1589	1330	300	295	1187	525	443	509
2813	87	298	1113	734	1547	2140	269	732	387	2181	2264	622	1710	1094	230	242	619	500	695	629
3385	442	632	1279	861	1399	2365	428	960	245	1616	2772	632	1856	1266	246	396	825	693	784	675
135	78	207	336	187	370	208	100	481	131	317	451	172	220	235	63	121	431	115	155	153
264	285	337	605	433	1008	364	276	283	247	823	1667	182	363	277	119	282	355	310	310	421
2653	347	452	740	654	1586	1382	248	820	288	1240	1362	694	1781	1398	277	365	834	540	393	459
1840	389	427	1035	910	1829	1814	490	1091	411	2467	2936	517	1166	902	251	474	1186	550	848	533
731	343	609	810	809	1258	813	379	479	135	1784	1915	305	807	513	138	388	766	237	584	450
4537	618	299	876	747	1444	2104	426	949	200	1792	2430	870	2352	1801	313	510	881	564	498	608
676	57	1077	567	552	1096	694	269	851	303	1294	1663	430	892	666	172	230	1019	363	431	507
1413	370	663	857	640	1409	1059	379	575	325	1107	1816	628	1304	952	285	299	844	415	455	416
6	141	109	102	134	325	17	44	33	137	242	480	106	34	30	29	72	70	28	130	101
72	101	142	336	420	399	99	135	249	112	797	989	180	120	141	74	136	455	76	233	168
923	159	165	280	458	440	594	148	156	135	396	537	345	884	630	151	234	260	218	211	106
793	245	53	43	340	517	444	142	87	31	544	493	402	863	636	161	122	65	136	215	182
820	160	181	286	213	296	427	75	91	66	183	526	319	681	450	121	69	193	181	140	189
1535	242	554	193	481	612	690	149	265	221	660	564	503	1351	1014	243	257	597	179	247	217
1502	808	183	287	614	1084	783	114	350	85	574	955	525	1209	921	224	189	306	189	266	312
14	1	1	1	20	16	13	5	1	1	17	106	12	10	11	4	2	1	1	3	8
388	371	202	482	444	352	366	161	262	230	643	574	434	783	588	194	183	335	262	233	149
711	250	208	409	355	631	562	147	377	97	575	775	572	1065	838	198	174	593	142	237	170
239	14	140	127	130	225	185	24	141	53	110	268	218	344	241	105	60	214	104	83	71
2919	695	194	516	821	1990	1670	594	430	279	1505	2094	714	1774	1383	280	664	486	495	531	574
2026	720	1311	476	676	1247	1414	344	1032	222	1170	1443	607	1389	946	244	446	1341	329	299	439
203	21	58	669	255	477	231	141	113	86	483	946	159	252	166	79	93	128	173	141	195
5952	1007	1563	942	1157	1697	1981	377	847	304	1637	1281	855	2485	1799	318	714	1463	514	500	505
1467	2391	289	990	689	1051	1388	408	671	383	1335	1899	366	1040	673	170	387	616	493	440	390
3301	448	239	364	802	1002	1294	331	426	183	1130	1325	605	1623	1262	254	360	846	260	365	328
9707	2834	1799	638	1419	2204	2541	559	828	274	1266	2103	1270	3365	2552	453	794	1769	456	714	620
1935	234	159	228	553	1442	938	181	396	101	586	907	676	1609	1261	250	173	324	137	217	245
1103	635	498	203	334	544	296	193	112	125	313	225	370	832	703	136	180	360	87	91	126
2082	1190	900	680	1021	1694	1078	322	287	208	763	1349	712	1319	1143	295	388	607	328	315	304
1308	1494	452	307	682	989	694	191	243	160	559	631	535	1095	833	210	259	354	205	282	207
595	476	407	207	348	600	160	69	36	12	258	248	294	542	407	134	114	248	69	85	86
2350	273	702	404	763	993	816	27	81	106	977	490	694	1502	1143	254	89	432	217	254	194
1319	752	766	199	728	744	661	154	283	112	370	469	433	979	756	175	194	478	127	180	144
741	271	157	217	416	473	293	73	119	138	252	589	382	783	585	187	88	236	117	133	61
2704	390	450	407	664	823	918	98	45	22	323	349	495	1193	785	207	120	293	141	192	98
2322	222	333	443	557	952	1697	301	706	332	1227	1770	576	1461	1139	205	302	921	356	464	644
1249	207	272	513	364	799	1013	68	487	178	980	1408	582	1249	1029	203	149	619	373	297	335
274	23	37	267	192	603	269	135	366	132	383	981	349	380	412	126	147	337	149	176	203
3214	109	790	741	1016	1552	2335	274	1149	335	2495	2898	815	1990	1502	290	238	914	805	762	665
2206	792	165	744	529	912	1591	262	1176	266	1251	1445	621	1310	1131	184	200	979	648	365	401
423	102	733	487	388	738	495	195	620	297	803	1145	372	571	523	161	188	667	350	207	366
552	195	186	291	341	376	508	142	390	84	578	718	277	619	434	125	134	324	131	236	136
1530	116	725	546	794	1202	1442	209	590	162	1977	2548	594	1255	969	220	259	683	418	654	559
1512	58	305	592	283	890	1168	110	511	163	839	1504	439	942	670	156	151	724	441	264	402
797	241	159	293	289	1104	865	219	453	261	1016	1226	425	934	642	181	277	627	251	389	332
1534	245	743	1023	574	1070	1332	228	803	103	1295	1700	639	1336	910	210	149	854	430	417	525
2717	484	700	627	749	1413	1546	561	703	279	1810	2431	861	1661	1455	335	618	745	485	649	693
1858	251	317	339	365	1204	1520	351	646	198	677	1676	538	1238	1010	192	330	556	420	272	552
1203	115	86	113	347	610	973	155	325	110	1087	1105	518	1120	1055	219	166	258	266	322	366
808	217	336	256	374	708	633	160	548	100	819	1685	504	1117	756	153	221	506	160	307	397
2223	32	68	230	404	920	994	22	424	158	815	1593	516	1154	817	200	53	268	217	281	416
57	89	82	328	178	435	116	137	71	86	474	880	134	122	144	48	236	164	178	201	156
544	117	238	412	480	919	586	184	312	118	1367	1370	536	913	916	261	220	360	210	470	419
173	106	171	202	125	300	110	95	66	38	349	797	214	236	262	97	78	140	71	99	141
791	335	398	678	514	627	725	305	721	274	1061	1406	570	998	993	236	254	788	512	366	409
652	103	528	251	394	654	564	72	468	102	560	1380	399	689	623	130	86	596	172	225	336
770	306	131	745	261	719	758	224	256	277	899	1500	348	837	577	160	268	332	481	266	334
227	160	557	282	259	384	414	132	351	84	607	788	339	529	456	135	103	375	118	179	171
840	459	382	631	665	1196	880	323	626	240	1120	2202	514	868	759	198	313	690	410	345	543
849	780	1077	968	911	1348	962	388	819	217	1793	2587	538	774	672	214	532	1230	383	727	638
860	570	248	535	544	1321	987	264	392	235	921	1451	418	788	705	152	325	638	343	354	372
490	130	198	170	392	657	504	155	231	46	606	911	303	517	453	117	207	202	115	311	339
3197	451	1110	992	912	2041	2356	426	966	439	1493	3001	746	1722	1284	306	401	1300	813	602	710
5019	580	729	876	974	1423	3057	427	1289	224	1841	2626	820	2204	1683	307	476	1601	445	669	603
1566	205	786	1018	853	1362	1603	295	1278	211	1657	2410	523	1344	1103	232	371	1404	579	498	509
7626	309	368	694	665	1072	2971	250	649	284	1253	2703	1121	3231	2465	404	339	749	537	508	597
872	261	427	761	840	1216	958	350	661	397	1827	1893	541	949	744	205	297	826	500	678	556
1973	355	134	804	612	840	1564	256	454	399	1237	1568	656	1338	997	179	186	463	774	445	443
746	37	301	382	352	525	742	79	605	112	901	838	430	811	708	149	120	501	133	246	187
483	93	256	363	360	443	698	204	786	107	650	803	402	720	618	161	211	725	233	282	244
1476	75	159	364	144	563	688	104	245	110	412	788	344	780	612	138	128	207	307	88	159
851	139	366	183	137	433	734	173	463	62	374	881	342	819	494	170	119	569	136	155	217
882	240	273	467	538	888	1042	324	421	288	1397	1544	487	1090	893	193	356	486	373	345	320
1838	499	279	460	468	788	933	163	513	131	1337	949	513	1278	890	191	288	523	427	374	327
1304	232	260	498	429	1028	969	282	554	197	897	1392	384	960	682	177	374	455	374	407	405
1729	375	958	754	786	1070	1309	431	1238	195	1227	1970	525	1486	1026	214	333	1014	512	472	414
4792	1047	3143	1241	1578	2595	3627	722	2353	502	3522	3907	1058	2844	2398	428	912	2559	1071	1216	1318
2799	833	958	1161	1015	2211	2818	611	796	299	2026	3670	750	1873	1205	307	595	838	635	738	891
249	207	103	416	380	704	338	224	150	232	741	1646	271	348	308	79	186	236	204	313	363
1933	578	343	1262	922	1120	1541	459	816	390	1676	2095	770	1482	1289	310	449	537	761	600	511
1014	101	332	536	452	675	690	233	602	148	773	1188	389	719	577	147	242	801	348	277	296
1859	385	2032	982	774	734	1359	311	1137	369	1355	1563	477	1274	1162	177	460	1348	752	491	485
406	72	694	528	359	691	436	166	593	251	755	1406	258	562	387	124	149	643	230	289	340
3765	473	919	990	953	2346	3197	533	1125	437	2784	3744	654	2046	1468	296	474	1015	834	772	1036
114	141	131	368	404	744	198	155	342	198	657	1089	220	188	167	79	192	379	87	291	242
91	257	174	247	227	567	197	295	370	94	721	763	225	199	172	89	248	267	109	269	186
384	104	247	258	428	792	444	241	397	54	869	1119	380	614	430	137	290	651	173	343	270
543	209	575	540	448	858	493	189	501	162	728	1282	397	605	485	156	198	816	225	383	388
839	802	1193	749	781	957	935	386	1046	313	1725	1574	519	849	801	212	398	1426	377	515	500
1616	202	376	527	559	775	1173	296	541	201	1136	1657	677	1155	1060	218	256	423	356	366	467
1637	196	487	909	889	1836	1524	412	944	371	2148	3391	701	1497	1225	305	497	819	629	714	842
2410	528	375	636	990	2032	2497	448	821	359	1950	3166	707	1662	1388	269	541	719	625	699	912
2132	230	1435	944	601	964	1352	236	783	140	1534	1566	574	1635	1234	272	277	1184	429	495	362
1400	293	279	689	420	851	1421	321	710	260	1038	1887	582	1350	1075	198	303	539	640	364	483
2875	269	379	367	596	605	1461	331	895	144	1306	1552	651	1444	1032	211	292	447	374	518	370
2492	556	560	575	1006	1320	1207	317	538	207	1214	1403	796	1795	1416	300	350	710	375	457	363
1937	252	682	1135	595	931	1403	231	635	289	1385	1299	609	1709	1098	252	309	850	657	382	327
2096	674	1098	1319	886	1426	1864	570	1180	555	1756	3300	672	1591	1108	285	416	1174	647	742	757
1866	157	322	1554	629	1478	2190	413	1506	408	3336	3981	763	1802	1297	305	448	1092	891	1056	1179
534	93	209	520	616	1010	1005	369	990	293	1917	2059	399	849	687	213	319	922	386	630	560
675	353	494	883	769	1494	867	420	860	336	1645	2833	476	928	740	263	390	752	498	492	845
2837	577	371	836	946	1291	2414	466	1240	328	1921	2018	1023	2531	2149	387	510	992	783	692	660
1174	375	258	496	580	841	746	156	187	141	1161	1126	545	951	668	202	182	243	319	346	301
1917	376	282	514	533	531	1143	326	564	127	770	1170	408	946	838	169	233	558	346	330	233
1077	155	17	199	322	674	742	103	264	160	1002	1162	401	1112	772	153	183	300	244	327	356
2400	221	558	606	589	817	1651	281	1296	199	1568	1916	574	1565	1051	252	341	837	513	345	512
6981	1222	489	660	803	2929	2145	280	153	169	1211	816	884	2290	1773	319	605	535	567	412	351
2889	452	1036	553	779	795	984	173	183	205	436	673	739	1419	1270	231	323	604	342	287	288
8450	1082	882	834	1032	1933	1909	133	440	249	1517	1396	1014	2674	2120	363	511	640	579	444	539
1793	788	165	466	374	588	1084	241	444	176	784	1205	508	1179	944	183	294	397	284	192	439
3884	751	753	733	636	1727	1972	555	591	417	1485	2508	698	1998	1413	243	515	1050	691	583	665
1873	512	104	533	884	1151	1357	241	708	205	1547	1681	617	1430	937	269	442	356	365	566	557
1021	167	346	594	608	935	961	140	565	175	1146	1658	372	871	655	156	147	417	414	470	471
2833	468	1027	313	600	1212	1227	283	886	98	1359	1691	490	1296	890	211	232	854	258	469	600
1795	415	311	652	512	1022	1404	242	459	100	1243	1933	438	1205	784	196	287	533	408	435	517
471	204	577	583	752	849	546	172	656	286	1268	2214	543	815	695	212	177	741	300	477	532
1343	446	349	465	769	1007	1114	391	384	206	946	1128	536	1170	932	191	389	494	331	419	327
2700	314	173	431	498	854	1084	165	296	222	1084	1081	619	1515	1130	200	271	438	633	361	425
9586	1349	1811	811	954	1793	3211	685	957	343	1523	1486	1239	3011	2670	404	9621	2467	551	646	720
3684	290	156	457	344	510	1683	117	177	177	851	814	484	1530	920	155	176	296	372	187	315
915	169	1050	430	400	840	728	259	767	184	889	1086	382	650	651	184	270	1047	254	231	306
1716	18	1322	623	530	652	1202	110	604	183	1216	834	541	1206	923	181	183	991	299	475	292
4814	367	350	617	870	965	2488	257	763	253	1776	1869	1032	2635	1757	372	252	601	534	607	479
5104	493	364	1300	758	1461	2812	402	488	457	1863	3041	1000	2503	2204	340	479	691	1019	631	849
2793	273	471	704	763	943	1646	183	703	371	1191	1571	606	1508	1166	248	250	1043	615	474	470
1793	44	257	513	559	900	849	174	474	232	1006	945	497	1120	835	186	195	425	577	297	349
475	79	169	205	208	318	389	134	228	182	303	401	247	484	462	83	108	298	154	114	156
617	144	1118	533	388	406	552	76	204	175	700	819	331	711	558	145	113	543	268	240	177
1451	404	377	458	429	1348	841	152	352	156	865	1153	532	1113	775	219	243	570	254	228	380
1584	479	566	339	347	747	894	215	331	95	679	1184	456	960	828	184	265	673	166	219	234
726	113	79	414	349	671	692	110	341	172	769	1073	337	838	636	130	88	418	329	302	300
238	104	75	387	245	801	225	169	323	194	839	1800	344	387	333	123	143	383	181	318	308
191	25	738	474	281	281	265	125	583	174	751	870	220	303	289	101	101	552	256	246	155
3457	335	715	448	747	989	2045	273	790	220	1720	1571	704	1811	1377	269	208	902	496	562	501
4339	605	1440	801	987	1351	2991	377	1808	212	2102	2159	913	2310	1518	319	623	1283	561	652	642
2402	253	799	374	431	898	1387	264	673	241	991	1359	487	1454	912	200	226	761	356	410	351
3451	375	657	909	821	973	1963	434	940	184	1564	1455	695	1885	1520	283	361	909	510	503	467
1914	151	215	471	283	431	1393	300	468	110	847	1013	563	1201	1137	240	217	493	266	259	259
3079	751	844	1188	1443	2429	2879	614	1009	315	3036	3203	1055	2265	1626	387	576	1135	1014	989	1038
547	121	176	211	355	491	589	117	389	100	647	837	302	615	436	150	173	196	98	219	194
1267	317	421	413	691	960	1235	327	534	136	1252	1534	462	1049	810	199	268	583	322	457	497
835	237	83	136	124	590	476	164	171	60	352	785	258	443	323	92	228	111	143	125	208
738	225	128	410	402	530	498	253	322	178	719	814	301	627	560	103	305	197	329	249	287
2134	728	667	445	438	759	1539	341	693	272	1041	1589	587	1540	1049	255	283	565	400	400	460
643	136	261	317	401	803	602	271	407	250	993	2015	317	621	539	141	196	524	210	337	363
4682	583	795	549	1391	1797	2721	674	1235	270	2525	2795	926	2170	1896	369	590	1592	519	1002	892
2245	125	793	146	554	670	1584	258	848	255	1342	1557	637	1879	1200	252	241	771	282	414	439
657	82	209	87	242	342	433	96	393	95	695	692	259	661	505	102	110	452	189	219	159
