high0	high1	high2	high3	high4	high5	low0	low1	low2	low3	low4	low5	canver.plasmid	early0	early1	early2	unsorted1	unsorte21	unsorted3	unsorted4	unsorted5
2193	483	277	693	638	1041	930	443	476	286	1466	1713	717	1503	1297	296	492	315	643	478	472
1321	309	3060	470	415	582	1122	194	3422	393	808	1559	597	1229	1011	228	242	3167	411	360	319
842	2	224	473	381	798	787	93	360	126	957	1141	442	982	794	194	116	341	287	228	278
3912	732	439	1198	777	1420	1939	494	970	297	1455	2760	822	2049	1604	299	462	601	594	534	605
1859	282	351	681	698	1018	1625	283	658	101	1212	1795	567	1293	906	199	350	610	428	446	391
1919	288	786	486	630	991	1631	163	899	189	1356	1494	828	1805	1356	270	228	1068	459	524	451
2093	245	893	493	701	1113	1592	364	698	208	1085	1542	702	1818	1154	279	446	567	300	463	513
810	16	62	645	260	526	877	78	291	116	695	876	292	611	464	126	123	310	248	185	277
951	130	209	606	487	767	1334	328	508	126	761	1709	367	973	721	156	338	648	355	319	390
460	162	361	474	699	1248	496	161	861	206	1478	1703	323	383	455	166	211	737	230	545	496
1730	278	164	390	496	864	1043	240	598	188	943	1924	464	1055	778	173	254	728	333	329	362
1301	433	66	898	733	1140	1496	597	410	364	1145	1902	477	1014	992	170	565	503	439	411	493
966	287	498	636	582	873	995	223	560	118	1565	1977	490	979	830	215	291	1036	291	485	411
950	477	1125	664	284	1003	682	324	608	319	616	1437	472	867	650	181	403	754	423	225	422
1606	455	426	561	592	1006	1185	355	1166	272	927	1962	533	1293	883	202	410	934	416	445	408
1698	195	185	527	415	578	950	184	505	252	1063	1654	279	779	642	122	195	318	517	404	455
1546	404	912	685	568	1192	1076	301	1260	258	1196	1919	491	1176	1083	211	406	1607	489	528	410
265	153	33	284	430	1099	504	151	282	188	911	1608	353	569	504	102	192	185	195	310	314
395	72	1026	709	274	723	326	130	787	281	615	1060	297	418	357	86	110	742	295	216	189
116	86	84	238	251	364	131	149	220	41	380	566	164	191	182	70	142	234	85	184	176
53	25	548	324	143	373	84	68	320	105	282	604	151	122	108	49	71	584	60	92	159
128	124	174	205	205	326	270	70	221	131	509	395	250	351	392	106	82	255	149	151	128
257	197	230	322	337	503	254	151	231	46	488	631	283	316	311	120	205	269	160	211	218
1101	1530	308	539	486	787	1012	625	738	187	1199	1527	496	1091	924	203	444	794	307	451	451
1363	85	527	1013	595	855	1083	279	619	363	1506	1903	465	955	828	179	215	647	527	514	497
1124	87	851	926	722	1322	1152	362	1018	272	1170	2061	473	869	598	213	283	851	404	514	491
653	450	126	431	486	657	874	274	309	243	1200	1257	290	767	555	138	288	393	346	398	315
1261	510	488	913	614	1598	1157	473	968	459	1234	2756	459	1205	835	214	395	866	536	352	618
3845	652	355	956	814	1576	2172	300	373	282	1905	2874	946	2228	1795	346	390	700	797	581	706
4139	270	603	956	967	1567	3044	499	731	378	1732	3121	968	2364	1686	374	441	836	705	624	767
1552	1	1	538	206	391	1055	154	366	160	836	721	461	1138	812	120	183	345	620	297	230
2456	94	444	713	777	1169	1888	363	701	374	1904	2169	888	1902	1736	348	335	705	748	711	648
2090	182	458	424	577	875	1275	262	970	198	1518	1990	741	1614	1286	274	251	587	409	541	668
1571	377	1355	583	537	1088	1612	234	1103	235	1380	1920	587	1377	1089	233	312	1437	516	525	523
1234	212	336	741	586	890	1274	271	537	218	1412	1296	545	1124	927	250	291	502	483	566	419
2309	494	444	518	462	1016	1593	287	429	177	1432	1793	475	1416	1000	218	271	494	352	483	503
102	123	78	235	299	371	242	126	249	67	536	899	223	217	190	93	136	377	84	248	199
2445	530	657	781	783	1052	1755	476	726	207	1600	1680	611	1591	1176	216	513	989	558	595	395
992	195	186	324	392	1070	911	295	549	114	591	1114	504	1107	883	211	230	703	221	248	351
892	78	362	305	418	749	829	191	478	172	1026	950	368	765	763	162	207	507	255	363	280
1195	277	336	510	489	698	1069	251	202	154	1017	1361	579	1191	882	209	314	527	254	306	390
343	95	193	84	203	331	287	150	384	29	528	858	226	358	317	73	127	456	78	153	177
1017	198	233	450	453	900	1161	256	228	237	792	1679	592	996	795	228	206	341	345	284	458
199	318	208	198	125	408	305	66	131	92	436	906	322	553	383	120	124	139	178	160	210
3549	554	3074	823	1162	1913	2595	549	1864	284	1898	4117	764	2239	1721	307	526	1473	646	891	850
1654	351	1430	786	499	666	1270	267	835	198	1101	1226	348	1064	700	145	342	762	423	411	298
896	64	192	158	445	757	700	218	296	148	1105	1396	468	969	819	169	145	323	225	340	310
1819	144	190	299	511	1160	1121	348	214	162	935	1641	574	1151	1038	209	364	418	245	354	445
167	30	131	441	323	625	199	72	291	38	635	598	202	318	262	85	58	170	116	278	177
583	213	917	583	593	1197	519	208	698	175	909	1556	366	642	561	145	216	728	326	418	300
210	177	231	484	530	721	348	111	334	130	742	1116	289	418	371	137	154	448	162	265	273
2	32	105	63	75	106	6	23	29	13	98	80	65	10	16	18	14	141	6	40	22
2480	560	446	446	519	857	1328	171	533	163	931	794	620	1483	1082	229	319	546	279	289	284
281	147	54	233	462	512	272	27	268	74	525	647	227	428	297	117	37	325	137	246	193
1173	239	623	265	560	492	528	152	259	62	484	379	509	870	676	192	178	415	126	143	85
1265	390	197	169	242	822	501	87	1	4	327	290	344	730	531	126	158	147	105	74	107
1072	199	404	361	365	408	809	258	296	92	1055	769	443	1051	744	162	324	333	195	328	203
3032	179	244	322	385	866	1769	345	442	109	1090	1899	470	1176	910	168	201	561	264	386	404
1272	134	608	492	634	1125	997	333	854	355	1850	1988	470	1093	743	223	280	930	317	532	535
3359	410	498	312	567	911	1809	449	645	139	1150	1521	863	2145	1635	308	530	621	270	391	375
