Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
174	172	208	263
770	810	1053	1093
198	347	279	211
542	654	653	820
283	234	230	319
703	1152	954	904
900	978	804	959
451	323	510	201
236	114	304	127
425	406	642	700
388	363	333	268
281	570	424	352
159	277	220	133
481	434	538	268
701	722	1062	870
1203	1705	1355	1665
652	439	681	476
503	966	649	819
211	166	249	256
203	208	304	470
280	333	500	387
362	273	357	420
174	279	264	214
166	185	204	44
466	261	533	698
252	152	250	440
368	519	327	238
231	87	184	395
390	407	545	1039
327	276	417	274
417	724	530	705
155	154	190	194
713	705	915	756
501	427	581	765
405	966	540	399
332	345	414	811
40	15	71	23
66	58	73	172
100	75	152	129
125	350	171	122
21	0	27	10
188	69	147	360
127	39	110	250
608	299	783	330
26	89	28	41
197	112	206	117
736	785	788	842
296	271	427	166
385	345	412	340
112	166	205	115
89	13	71	28
508	362	748	815
670	924	926	643
160	332	200	159
131	207	142	415
414	377	460	495
311	344	420	356
88	158	110	225
181	271	234	166
267	155	271	168
273	312	345	811
84	23	122	110
222	270	274	242
139	140	151	227
78	17	116	119
219	115	234	292
6	3	13	11
25	44	35	32
72	147	63	42
106	92	99	46
493	346	726	623
359	487	336	457
197	217	276	673
425	500	555	912
93	49	167	37
219	309	226	247
380	135	317	587
437	543	527	356
683	431	746	812
195	138	212	445
312	627	302	251
593	669	685	532
466	605	558	580
118	101	147	285
121	441	199	115
135	108	159	53
257	350	339	320
277	631	379	371
291	229	402	265
328	452	529	460
325	466	512	434
380	620	476	509
1234	1595	1500	2023
234	246	190	176
673	600	758	662
308	455	399	504
451	542	604	421
160	136	258	274
339	333	399	405
136	76	124	89
30	58	110	136
467	762	584	772
726	721	874	948
189	299	171	83
215	249	243	94
567	895	680	620
353	466	397	380
260	306	379	367
568	697	703	868
151	92	226	200
288	113	336	257
134	58	177	235
580	780	717	622
215	331	245	575
91	60	131	170
108	125	148	128
217	293	246	484
254	352	237	326
673	1175	818	1165
368	393	464	553
177	94	300	152
304	230	303	309
331	409	446	1286
174	300	257	156
148	402	299	315
382	522	494	271
31	5	77	254
69	173	76	28
257	138	296	205
192	270	276	213
35	76	49	28
77	102	113	235
122	239	171	176
78	255	84	172
289	449	293	333
85	95	127	143
663	556	823	798
460	843	583	530
690	572	913	391
362	373	378	376
139	187	205	221
92	141	93	75
254	402	338	385
715	841	956	1106
374	608	464	437
104	90	157	53
459	532	568	526
715	747	948	1078
760	1096	822	1048
505	578	622	718
293	324	436	606
213	402	302	221
69	122	83	29
288	325	413	375
997	1399	1504	1769
176	508	320	415
234	143	376	232
145	96	140	195
86	55	105	230
282	498	431	438
159	84	233	130
349	504	397	581
379	532	490	462
426	399	429	338
675	971	814	875
27	16	95	57
411	208	449	387
432	247	430	468
372	277	477	314
723	533	861	1048
153	121	83	207
370	134	337	467
474	348	444	452
402	810	626	664
155	172	179	215
591	569	728	860
150	125	251	188
371	277	454	312
286	124	314	365
201	328	268	368
312	269	462	697
187	157	234	253
315	339	301	518
271	383	369	374
144	145	286	477
270	324	334	191
164	282	268	255
258	361	361	431
78	341	92	92
526	574	705	1874
70	163	83	29
358	711	475	777
770	594	841	722
1599	1828	1907	1757
123	72	176	208
269	633	342	436
144	111	208	517
194	161	323	222
13	7	21	68
148	86	201	128
78	50	73	91
112	147	132	442
102	72	60	44
20	43	23	57
116	43	70	50
170	218	259	284
626	638	766	515
182	191	216	104
65	116	114	96
322	321	380	205
190	147	272	345
589	710	612	574
125	307	183	128
241	389	219	168
652	884	863	1116
79	247	111	243
553	848	639	390
342	191	429	213
228	370	305	273
139	82	134	131
322	492	410	355
269	255	286	175
322	567	346	318
206	335	295	206
164	310	316	179
1657	1770	2080	1218
654	770	834	1082
229	244	329	402
230	149	256	315
295	651	351	258
180	420	279	274
250	204	333	404
40	29	39	18
245	177	244	364
456	169	397	365
82	91	64	78
619	603	714	615
236	486	278	151
709	691	863	846
187	249	220	185
386	456	433	667
674	680	760	1371
228	279	298	187
303	443	289	180
378	350	410	320
217	169	255	141
121	148	153	70
688	730	577	698
33	46	102	55
204	523	235	198
132	55	81	100
135	40	174	146
295	299	282	607
496	739	691	493
749	700	758	1309
106	121	146	114
551	570	655	956
212	95	204	206
415	531	609	668
732	372	798	826
453	650	566	770
1076	930	1575	1719
62	194	88	109
293	223	362	358
428	504	662	537
569	337	520	593
839	1214	1095	1252
315	445	347	306
629	803	832	817
456	557	555	718
51	46	110	121
695	748	740	770
274	376	327	580
321	357	353	467
174	187	250	386
398	609	575	457
82	71	91	49
1	0	5	7
438	924	927	681
52	111	175	149
205	222	285	257
201	142	268	205
409	407	541	774
48	10	41	179
644	972	873	974
109	88	128	162
112	293	140	156
104	104	98	49
171	210	121	147
55	334	107	66
358	324	415	444
137	170	181	88
127	25	89	170
448	325	459	577
296	583	375	476
194	126	200	168
117	99	181	59
273	111	193	129
1668	1270	1791	1969
313	277	477	550
611	615	721	723
774	421	529	605
270	375	340	596
354	314	404	473
559	643	744	713
92	170	135	107
178	270	206	254
1004	1510	1111	1281
243	176	242	528
510	429	599	643
481	547	540	809
121	291	184	197
315	548	510	497
422	628	483	1515
446	558	559	341
127	283	158	339
333	437	565	478
59	17	97	63
190	144	204	228
199	193	204	272
399	408	346	484
518	388	625	358
171	205	180	196
127	107	190	142
460	372	549	449
427	359	471	521
404	165	432	321
462	446	555	565
36	0	20	0
443	648	502	573
597	586	558	562
694	985	818	891
624	169	731	275
448	303	382	120
362	199	346	308
239	73	318	175
397	453	425	391
158	277	133	45
133	102	151	91
212	102	280	143
1109	1199	1276	756
184	58	229	189
442	393	608	535
375	184	455	392
361	214	475	189
217	274	241	352
371	120	416	122
188	236	262	159
277	74	282	227
151	204	239	369
406	407	508	704
264	349	322	125
477	271	491	407
343	146	443	538
345	202	388	124
290	253	419	370
541	800	758	528
116	23	150	29
275	68	435	167
1140	918	1385	865
528	400	778	424
1746	756	2037	1222
92	28	108	58
0	0	4	0
591	339	755	165
403	303	436	174
58	40	130	10
156	113	209	141
153	61	242	103
666	423	958	392
75	21	134	58
100	85	100	133
595	244	689	574
94	0	148	66
489	90	648	180
85	44	176	49
242	69	309	311
189	169	270	159
246	111	295	56
395	111	494	333
190	10	259	54
58	0	116	2
226	44	411	123
410	261	491	261
882	233	1103	381
249	10	278	105
336	88	510	526
204	12	278	63
678	191	977	132
133	14	81	33
1433	1165	1801	928
946	384	1219	472
854	595	761	384
490	679	723	414
239	285	311	66
473	525	679	670
758	777	913	501
571	850	643	637
338	224	434	375
1501	1063	1858	833
334	231	477	296
260	260	475	398
500	169	493	331
629	510	758	1130
465	321	472	293
732	194	844	291
263	206	431	209
205	25	254	85
459	55	595	287
460	210	469	94
982	186	1142	436
265	443	387	629
575	217	794	509
66	71	111	69
96	83	129	86
1583	469	1736	235
84	11	69	97
294	101	465	58
164	64	237	28
230	56	313	41
472	364	705	565
97	224	199	82
202	64	234	140
186	28	237	46
44	58	117	6
57	15	106	2
223	92	293	162
66	86	72	94
93	40	146	13
466	185	697	246
202	120	226	270
422	146	453	253
846	506	892	511
70	18	106	86
107	21	67	3
571	141	743	293
195	211	165	376
257	178	176	367
185	101	228	243
215	160	322	312
577	282	669	442
800	548	883	707
869	349	1063	744
230	96	190	204
404	467	608	427
608	81	670	347
377	243	392	390
322	208	427	196
541	1059	788	664
242	240	213	354
747	596	779	976
1231	1535	1623	1886
600	855	752	510
584	509	654	349
263	274	293	190
179	56	197	93
395	436	417	309
662	391	753	368
486	647	750	433
265	133	329	129
234	116	365	179
660	685	765	485
642	339	575	509
179	204	214	83
438	159	488	193
114	122	105	54
1097	697	1531	1032
0	0	0	1
637	670	679	538
238	281	365	155
443	142	490	311
103	55	137	157
408	352	483	400
101	33	156	144
89	101	93	29
512	432	531	178
136	106	143	223
192	78	185	83
78	55	75	97
542	695	771	583
147	295	277	226
193	85	288	31
103	119	185	571
216	203	157	139
142	206	328	212
68	24	163	290
1143	814	1485	1184
121	91	161	67
317	137	346	421
700	289	928	660
566	447	657	363
770	608	1199	369
257	182	382	220
273	230	216	199
948	1141	980	1002
620	549	788	562
398	527	537	534
607	236	641	590
410	301	532	325
349	207	542	196
100	25	194	122
344	146	372	129
379	204	461	296
495	837	682	362
234	40	194	124
404	524	487	344
419	226	414	229
1142	1107	1220	1385
901	626	1176	570
619	756	772	1102
338	313	464	168
91	35	98	87
407	220	651	125
364	328	437	221
105	95	200	81
112	33	182	91
340	198	413	116
454	120	495	433
451	146	484	344
388	148	345	149
154	83	192	180
687	508	819	464
440	376	609	145
638	548	758	761
615	472	616	521
163	53	143	121
177	208	191	47
607	600	928	675
794	678	962	887
267	418	306	378
22	13	57	87
913	354	945	331
556	471	662	397
157	270	264	251
123	19	167	160
750	769	917	782
366	159	400	217
580	210	541	479
1321	1047	1524	824
913	713	1166	892
199	276	188	162
783	588	1048	972
296	274	460	544
564	491	688	368
766	472	913	781
444	317	576	403
357	311	303	292
223	37	283	124
373	264	378	236
782	822	952	606
87	144	157	171
89	30	111	149
95	55	162	170
286	278	421	114
491	440	649	524
572	222	644	432
203	143	318	202
220	59	333	115
446	236	481	308
1119	1069	1310	1324
105	10	81	32
455	324	365	289
208	125	249	218
335	369	370	406
185	52	196	94
675	153	631	250
134	7	159	265
183	103	173	153
73	38	55	47
92	69	139	48
253	61	447	97
451	174	545	435
53	32	112	42
557	461	714	328
604	213	618	422
792	334	1056	697
655	492	810	450
1782	1148	2084	1224
920	357	1164	526
125	37	102	77
409	238	446	310
186	100	198	123
274	13	397	210
507	497	887	641
306	627	381	462
377	505	438	340
98	134	113	66
390	116	491	110
148	115	321	367
305	188	450	55
217	16	176	90
122	17	183	29
146	38	110	1
340	101	292	126
17	41	61	51
82	82	76	30
195	76	228	67
119	57	204	61
457	145	511	157
808	295	1188	459
111	89	197	41
304	46	292	92
163	124	151	20
281	114	460	189
91	30	111	19
300	37	385	7
391	61	483	123
564	343	653	413
466	243	604	194
428	263	598	208
631	216	707	332
351	167	428	90
20	0	31	10
421	42	526	232
1000	294	1056	499
285	87	251	163
236	182	229	82
99	129	194	6
153	181	232	438
386	456	453	347
508	665	835	534
601	298	795	270
906	1047	1250	1492
492	46	548	418
407	59	442	88
393	45	496	177
61	31	50	0
421	63	564	116
59	2	50	32
238	197	407	141
120	53	59	58
298	174	375	84
597	123	661	243
137	48	235	34
566	87	573	259
184	53	182	56
198	75	239	74
608	210	753	211
255	150	349	55
60	285	132	47
268	174	280	284
354	48	423	94
493	74	451	188
274	96	451	92
509	336	725	365
605	451	702	320
326	26	391	70
188	16	260	48
177	72	244	66
856	282	916	267
391	271	561	98
709	227	681	327
558	98	679	264
345	118	473	76
135	12	161	44
405	620	395	438
93	19	222	36
160	199	263	153
347	28	401	70
572	695	780	520
493	473	729	502
574	790	756	784
189	43	345	91
699	88	855	118
291	0	490	107
584	95	847	83
119	47	193	43
323	177	500	158
298	117	444	119
675	277	832	407
296	274	414	250
746	45	859	107
1116	200	1273	387
438	160	547	215
354	193	245	201
402	114	381	248
402	31	489	99
850	721	1043	830
134	51	122	83
110	337	164	208
196	49	145	159
104	26	85	5
49	0	89	10
699	255	904	241
312	144	374	49
625	644	755	554
265	102	386	43
548	346	671	254
499	230	592	175
458	299	652	131
261	17	328	79
250	28	352	105
545	58	577	235
225	183	377	156
171	52	201	96
503	272	584	384
658	333	867	221
455	106	589	133
734	322	732	111
115	61	231	99
200	148	245	148
202	83	247	54
72	16	103	46
58	104	116	2
534	225	684	110
252	155	338	178
744	614	849	1238
477	155	634	210
749	689	911	583
627	285	703	242
186	76	247	181
229	67	179	102
693	336	640	233
365	50	438	49
362	129	527	314
57	73	90	16
291	25	310	40
48	16	66	29
597	59	883	133
200	58	326	91
378	233	373	85
652	66	803	311
499	604	642	697
57	0	63	0
419	61	632	21
725	274	1050	367
396	354	562	353
108	27	122	18
227	32	187	251
208	23	196	149
473	61	493	51
290	55	350	66
516	39	757	27
958	66	1227	58
1068	59	1406	45
883	56	1180	43
349	43	432	47
347	46	487	22
965	139	1414	107
1114	353	1305	548
496	14	554	178
310	65	410	82
281	314	220	153
707	744	1010	1132
1301	1268	1399	1358
146	34	230	46
226	105	338	247
391	32	510	102
418	105	482	80
358	86	552	88
436	85	483	76
455	106	481	113
351	140	437	142
175	92	163	25
549	216	624	186
475	167	638	311
151	169	248	19
1289	443	1415	353
403	239	720	180
1280	240	1444	277
1214	667	1414	551
92	53	95	97
1407	658	1753	495
310	26	262	79
193	109	249	189
110	41	160	0
118	0	204	14
280	24	364	28
82	11	83	63
361	116	1284	103
803	250	1140	185
667	273	684	533
589	327	844	181
244	35	370	25
563	121	810	206
428	126	467	213
122	30	115	104
231	60	233	35
258	196	387	145
98	0	112	0
166	13	231	3
184	40	287	28
34	0	52	2
148	21	243	64
199	42	318	21
94	3	89	66
508	210	777	311
118	33	110	5
97	28	95	45
199	122	218	69
37	6	69	83
293	316	344	156
427	257	637	142
218	108	300	35
131	78	134	49
243	28	414	76
111	0	133	10
299	27	345	71
324	52	308	74
176	9	225	1
344	68	498	71
426	185	597	137
160	21	168	44
73	0	87	26
246	61	321	212
284	69	321	71
532	130	765	362
312	74	430	132
286	189	320	161
216	25	295	58
23	0	67	23
223	151	241	22
430	197	428	391
209	29	343	366
332	159	377	244
507	89	749	175
105	52	83	32
111	7	81	83
223	82	366	73
390	65	552	228
495	46	534	210
30	0	47	15
73	2	53	12
76	6	104	26
120	5	257	68
431	131	538	234
148	0	148	12
712	60	867	138
99	50	98	0
456	86	570	140
15	13	30	0
142	0	166	5
197	52	333	87
575	153	605	92
606	174	723	298
375	104	507	143
406	234	428	93
557	169	643	109
146	50	211	16
47	0	65	12
60	13	94	86
265	35	192	65
239	39	474	207
161	17	135	0
141	111	91	92
237	5	183	39
269	41	379	81
124	0	221	33
74	17	127	83
132	26	129	79
218	67	194	15
395	326	438	641
610	290	629	42
102	10	70	6
361	70	344	107
265	45	192	26
91	3	161	30
667	289	781	52
177	24	140	45
381	59	403	23
706	93	855	247
101	98	162	75
213	14	297	104
56	12	63	18
259	82	188	56
85	186	55	33
86	10	70	13
231	102	396	236
98	4	104	27
356	79	368	103
624	236	796	166
420	105	562	121
106	20	139	82
245	206	250	154
91	129	166	66
154	310	275	268
230	219	209	207
104	17	173	36
97	25	114	204
16	0	20	2
156	76	207	175
299	143	402	135
170	24	205	21
37	115	61	35
205	128	332	196
121	91	196	105
334	107	339	161
255	163	316	122
159	136	205	55
105	31	127	48
181	71	309	135
278	202	264	47
203	33	307	102
275	77	362	72
476	379	607	269
380	330	427	464
573	148	648	254
564	302	739	419
52	0	107	13
209	75	305	104
84	39	72	28
309	207	540	388
500	354	532	494
233	378	378	210
63	146	123	36
58	20	86	24
121	70	210	28
432	274	445	221
85	11	86	115
135	94	138	5
900	548	894	655
184	45	195	135
52	0	85	26
306	146	308	380
210	113	264	84
1042	1339	1148	1078
289	85	411	262
482	439	588	508
299	374	438	192
236	116	298	296
158	238	198	155
458	336	486	234
438	625	558	796
1714	1591	1851	2136
282	381	370	275
275	155	360	183
480	325	677	248
423	283	452	155
462	281	527	290
241	110	356	475
200	219	350	94
660	269	858	351
272	608	318	329
332	157	329	293
195	127	208	159
172	59	152	109
1121	600	1520	390
815	698	996	1032
961	843	1316	1320
1173	545	1309	1016
102	77	102	80
225	46	303	61
357	223	463	128
292	91	369	227
421	94	662	281
546	304	766	408
189	167	254	130
303	529	338	155
553	633	703	626
803	830	789	731
188	94	277	213
220	293	272	341
421	528	482	483
142	59	208	405
60	16	59	32
185	112	216	106
104	160	125	91
527	592	571	272
708	643	931	1595
803	439	1086	498
1281	1040	1525	944
191	41	233	321
213	172	260	128
361	542	560	575
343	181	417	512
1101	943	1276	977
352	182	518	375
278	444	379	165
346	439	359	464
833	488	835	408
149	111	204	36
664	502	790	412
152	141	202	158
93	150	136	55
391	284	453	228
565	290	778	390
508	241	600	167
221	56	173	45
146	58	180	116
129	67	138	233
198	63	197	140
64	80	86	46
207	122	180	192
423	196	612	368
316	509	374	486
105	35	107	60
117	34	104	220
293	250	323	431
303	245	318	328
115	29	221	266
134	137	170	125
166	108	237	160
51	155	137	64
309	173	431	265
632	270	786	293
218	129	340	96
258	218	386	242
91	23	91	11
336	135	325	102
334	262	408	462
502	914	495	999
564	732	731	288
347	178	400	439
159	119	190	111
122	175	185	56
193	81	222	54
653	582	693	413
1701	661	1958	1227
154	31	241	52
323	137	395	106
206	209	272	92
455	200	480	129
153	19	138	131
357	14	436	96
81	108	118	91
89	178	97	51
267	235	296	252
106	32	148	27
581	212	635	175
294	416	280	225
403	437	481	207
143	47	195	24
710	487	822	872
175	388	263	233
345	112	402	228
437	106	413	294
391	554	588	641
116	128	168	39
207	83	237	396
138	187	219	179
1118	877	1223	1199
87	31	106	104
414	329	465	438
542	578	718	316
373	384	482	271
667	583	719	494
419	341	632	401
86	60	132	15
458	966	535	526
156	85	175	114
232	104	324	203
162	86	144	134
541	471	461	395
267	368	330	193
719	564	689	413
46	70	65	20
227	107	281	200
289	170	291	204
63	26	81	46
70	30	87	260
223	140	361	292
50	6	31	85
58	109	31	4
37	35	55	73
134	148	158	97
537	775	659	475
113	76	179	239
183	133	264	252
289	197	220	114
416	257	416	356
112	21	101	210
166	181	200	175
431	172	384	114
1256	572	1336	777
1387	733	1634	628
223	105	325	88
137	133	135	253
688	846	818	956
206	108	279	173
200	15	163	135
175	33	257	42
221	229	287	64
857	444	987	594
94	225	103	112
747	983	1015	1343
568	615	451	516
401	216	575	325
81	173	131	186
95	130	148	127
439	400	603	298
232	336	253	199
336	235	396	294
271	261	305	156
222	86	348	220
999	587	1251	611
359	501	457	308
292	254	387	199
392	240	479	413
851	579	1335	436
314	200	302	90
652	372	715	424
140	36	122	31
305	337	299	628
60	17	61	10
390	162	421	270
318	192	347	142
1008	308	961	301
191	327	281	239
119	89	105	23
304	98	379	418
166	366	272	241
87	37	95	109
305	682	322	295
117	36	241	122
295	214	278	235
84	92	124	33
399	506	358	105
51	78	88	221
251	224	368	611
179	86	183	384
434	673	654	760
93	73	137	142
491	693	588	944
290	298	397	227
330	411	392	236
79	32	109	75
113	65	227	397
45	0	44	57
223	100	227	142
442	454	662	570
289	169	324	223
284	377	486	326
70	25	100	125
396	123	422	184
137	27	199	85
415	201	426	236
120	46	180	75
368	313	565	219
231	194	357	244
791	591	1026	603
642	629	680	616
58	14	55	61
137	99	173	60
82	28	73	8
75	195	96	19
199	238	241	191
465	205	579	403
172	205	262	327
164	157	162	219
255	380	194	165
329	180	394	254
686	423	836	573
765	746	882	1161
421	193	437	290
1444	860	1692	902
224	90	160	275
96	29	213	45
180	154	233	168
385	435	430	357
1150	1585	1284	1104
299	196	368	322
104	14	123	53
297	181	491	298
312	238	394	161
169	145	214	141
207	212	233	224
129	31	163	89
354	287	372	150
397	265	319	119
130	90	164	244
167	70	138	92
25	112	47	43
101	0	185	131
345	329	310	224
28	0	38	153
88	101	107	53
183	13	223	171
562	273	671	635
188	70	260	90
504	343	551	534
142	176	111	159
30	16	35	86
113	92	149	83
230	234	386	329
141	142	169	111
223	316	250	216
60	14	33	32
264	229	270	235
159	19	195	75
499	383	572	1418
60	89	89	60
121	172	173	77
29	32	38	26
418	152	493	753
132	98	100	70
330	141	436	238
773	547	861	589
114	88	164	106
193	284	291	108
269	95	214	175
102	48	78	162
138	115	194	142
784	1152	901	1009
343	347	421	224
323	135	370	87
273	294	329	322
612	524	626	729
139	72	214	191
353	432	493	287
501	352	810	212
637	463	874	464
330	189	455	415
525	339	605	439
531	592	713	518
323	643	388	547
619	897	736	714
428	233	569	37
320	404	340	484
491	516	622	363
544	319	494	170
113	72	149	155
416	249	353	281
265	134	445	275
113	72	219	72
197	76	281	167
388	257	806	154
850	1057	971	811
259	133	349	163
109	163	207	47
84	43	137	83
630	426	755	356
226	425	297	190
503	648	582	416
118	58	148	78
152	112	146	68
453	263	422	40
146	42	114	79
1025	1393	1402	895
1173	1198	1441	1343
321	79	333	324
493	302	414	207
509	309	720	581
255	97	275	154
483	250	532	383
446	166	557	260
626	438	830	390
54	64	129	13
330	453	442	320
240	67	908	58
197	66	204	14
629	852	843	728
158	279	290	216
420	356	561	703
572	477	773	709
373	81	475	84
683	659	784	691
476	292	687	376
367	152	453	97
200	159	206	168
312	261	370	403
186	131	242	179
111	115	68	70
565	448	540	651
600	417	682	510
348	352	436	172
504	724	705	568
377	466	353	255
242	10	296	62
173	245	229	290
614	777	997	609
176	258	225	204
121	29	108	176
100	179	55	72
575	510	811	1185
119	44	107	31
110	64	84	8
454	611	611	532
158	281	124	143
183	98	245	93
806	802	919	690
345	60	495	46
251	117	282	232
632	650	919	1045
294	260	331	319
1105	1185	1257	765
270	137	392	390
112	43	89	137
152	220	284	265
580	290	760	230
261	490	359	352
100	42	123	257
284	16	345	76
315	144	423	455
459	759	550	394
656	846	777	1141
424	461	518	221
731	543	898	773
185	307	227	125
225	155	276	241
604	740	672	1057
239	232	268	209
173	179	129	156
732	764	1002	807
272	33	246	315
396	603	508	441
462	494	517	582
52	119	91	45
425	653	522	356
289	375	348	320
155	162	178	181
322	273	355	331
336	366	343	134
303	248	405	278
335	47	513	778
838	1240	915	635
584	1072	831	793
1071	1064	1332	996
735	862	853	966
291	143	220	146
232	234	237	459
203	195	177	177
551	907	764	857
240	362	269	223
207	194	297	315
1163	1690	1407	1690
741	988	905	656
189	258	180	231
379	284	449	971
312	145	332	139
551	292	758	256
340	263	444	127
177	113	214	103
136	52	199	53
208	70	298	225
263	73	161	163
100	19	77	3
303	522	450	402
626	793	795	1325
119	174	170	59
383	208	655	321
684	281	645	465
163	221	214	144
855	809	960	739
583	401	643	525
484	495	697	558
356	295	427	333
255	170	304	306
1522	1335	1836	2360
204	270	314	175
242	200	265	254
262	222	260	102
143	180	291	131
30	38	66	56
110	140	185	124
745	499	904	699
167	27	225	79
235	173	362	158
197	232	243	250
1044	1325	1259	850
222	236	275	246
213	296	209	312
286	315	417	468
739	679	770	652
203	78	188	74
110	51	112	97
817	207	1096	438
375	374	386	197
455	402	495	238
278	536	335	376
454	830	649	198
1101	993	1182	828
370	94	412	283
707	269	595	448
282	277	330	381
162	490	164	201
116	65	136	75
197	209	252	436
227	308	243	176
562	474	557	1235
688	591	994	797
22	0	49	2
73	83	165	240
169	364	278	162
135	151	203	100
587	655	673	568
291	251	334	368
601	922	790	671
288	83	273	79
83	136	127	91
98	35	150	119
503	280	655	210
96	65	134	129
255	67	311	243
248	237	256	549
98	88	97	93
493	482	504	344
184	191	223	230
89	186	106	51
319	238	420	136
270	167	322	213
202	124	243	350
286	222	302	296
56	78	45	17
177	155	192	38
210	116	253	318
537	609	658	468
229	96	239	61
154	230	206	274
204	51	157	81
368	430	561	493
666	565	787	364
140	164	127	90
840	914	974	846
250	114	282	71
624	403	741	421
254	101	221	235
286	143	253	183
148	50	164	48
302	271	385	247
231	98	263	324
221	245	234	262
93	67	107	321
285	537	295	309
165	82	154	139
42	14	14	10
164	61	234	173
254	102	227	237
358	407	426	409
1100	644	1197	507
1063	543	1049	375
348	229	502	381
412	415	648	638
510	713	684	337
307	103	335	162
809	414	1059	781
218	96	259	282
110	104	164	130
300	599	430	235
98	66	150	186
187	70	202	69
98	2	188	90
317	333	412	419
104	73	179	82
1025	168	1116	417
656	486	718	623
131	173	204	284
345	473	413	558
1856	2127	2665	2118
228	191	293	148
573	577	733	875
406	106	416	83
396	422	686	490
376	158	487	491
709	563	707	1366
620	320	667	322
86	14	148	109
286	465	408	190
490	152	565	204
301	46	284	175
616	1095	894	1044
135	44	142	96
505	201	669	256
144	37	107	35
101	54	142	60
675	200	650	211
217	48	316	191
243	223	298	181
436	169	391	175
1082	1255	1306	1133
244	354	280	215
252	71	322	60
252	143	204	94
762	585	758	1185
60	82	116	30
150	142	170	196
497	288	560	468
79	80	60	17
203	148	230	114
599	422	631	1012
288	37	238	114
301	270	250	377
154	50	173	292
626	552	844	1008
538	159	568	223
587	389	612	188
182	203	191	199
125	191	187	163
389	152	341	148
261	73	320	127
450	438	473	315
175	13	192	59
165	17	170	78
224	205	279	106
188	187	122	95
45	31	55	16
274	266	341	223
357	87	468	215
93	67	163	103
757	371	809	587
551	593	681	557
261	125	265	0
249	117	359	221
152	40	105	35
102	0	171	101
191	37	285	78
174	85	187	73
246	145	391	143
146	415	230	190
42	27	79	80
516	468	553	331
580	464	660	853
34	90	42	15
165	256	141	360
227	445	304	304
353	440	325	346
343	561	432	552
109	6	88	94
370	735	428	374
88	118	146	392
491	296	531	518
238	347	237	429
194	84	223	133
208	40	307	70
234	90	374	167
397	732	358	269
208	129	235	127
198	51	222	16
302	189	386	146
196	151	244	129
252	193	422	136
396	401	431	853
1331	866	1407	1015
596	547	704	273
528	118	644	473
304	234	396	230
479	160	541	270
130	110	121	41
56	26	100	7
128	103	79	67
548	764	697	789
290	145	395	190
228	161	211	440
154	193	141	89
175	13	281	139
128	70	190	48
192	159	305	140
461	154	503	115
105	30	90	39
436	249	480	433
264	37	280	122
380	264	483	354
560	287	697	375
198	87	277	202
272	119	299	246
163	189	185	182
424	312	667	429
514	152	488	419
109	45	71	13
210	325	308	232
547	1188	695	813
180	349	252	83
93	43	51	30
616	659	623	525
475	521	530	439
564	404	582	575
134	205	272	266
154	173	268	177
1100	1462	1001	1457
1227	812	1624	479
519	752	545	261
78	34	70	53
118	206	135	53
112	284	202	306
380	145	586	268
385	303	500	504
116	47	209	129
335	468	330	252
199	111	303	116
951	1161	1100	899
327	296	360	101
152	46	217	23
87	111	129	38
313	429	342	222
335	55	443	156
165	86	253	44
105	55	182	230
278	165	388	58
291	237	349	145
129	160	291	22
375	222	386	247
53	5	65	34
39	3	9	0
118	9	128	126
176	87	208	104
149	87	209	19
516	264	724	250
295	97	314	128
49	52	80	25
11	25	34	34
279	132	401	296
380	424	508	536
714	348	648	442
314	121	339	287
198	170	313	127
515	317	576	674
616	522	816	840
90	44	86	85
620	1158	747	613
207	331	321	211
241	83	308	168
271	86	382	106
614	1051	814	899
475	161	582	399
1516	1391	1878	1672
259	63	279	48
373	540	503	499
111	32	160	26
267	572	373	283
369	221	527	219
401	514	679	543
357	387	471	551
404	384	437	361
185	24	300	160
509	467	600	405
259	187	203	264
546	499	622	519
883	839	1070	1425
196	43	229	434
58	64	40	43
546	525	588	840
395	581	405	241
856	1004	1068	1111
344	354	492	534
357	185	360	674
217	199	187	257
0	1	0	0
165	40	191	94
70	37	50	35
363	226	585	386
251	279	379	265
535	526	688	758
363	317	375	334
434	320	539	421
708	625	797	525
463	551	606	153
363	502	410	582
460	421	565	346
539	378	575	802
133	299	212	259
367	561	289	414
268	486	440	472
562	662	630	555
363	129	431	216
446	510	433	427
318	489	392	776
133	273	172	127
415	438	512	678
108	254	177	148
436	271	446	430
186	171	221	228
543	465	750	769
475	479	549	548
634	528	623	510
516	993	600	551
918	1116	1075	984
246	288	282	242
345	412	517	418
386	487	541	245
892	1094	1038	1486
868	1025	1056	1413
309	308	335	159
35	54	87	23
260	305	358	218
250	138	354	105
192	144	234	147
1639	4133	1769	2080
42	51	33	12
280	358	362	450
309	1047	357	496
469	215	629	345
512	396	536	587
634	686	828	843
709	600	919	1493
696	522	928	961
298	74	350	170
376	209	533	211
715	466	983	768
215	110	312	249
803	1042	865	1031
259	82	251	102
540	204	684	282
338	362	482	341
256	428	351	223
45	32	129	31
458	569	530	380
196	50	225	155
747	582	687	1368
771	758	1044	843
301	16	329	35
513	148	590	223
82	152	95	70
307	437	306	284
556	175	690	618
166	50	213	71
678	1413	714	822
606	578	878	836
263	193	309	234
517	303	559	258
251	489	410	395
229	198	318	123
161	174	213	188
913	873	1086	1154
197	137	252	124
493	274	557	283
210	196	159	285
447	289	398	578
182	156	228	182
