Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
571	844	783	347
260	496	311	266
122	190	159	75
38	14	38	17
110	108	96	181
135	57	139	134
403	574	512	321
500	336	509	653
478	386	494	494
286	294	318	400
182	273	331	258
317	227	359	296
146	267	155	189
236	306	277	307
933	1064	1270	1305
20	33	87	180
418	461	474	839
430	767	626	579
402	771	475	453
150	246	211	235
202	131	216	232
154	308	180	102
241	208	349	278
187	331	188	175
85	272	166	195
50	127	73	115
818	1363	1175	1196
183	160	204	180
287	67	235	386
522	546	732	831
254	328	258	394
291	379	367	318
227	253	292	490
393	469	483	711
494	473	530	755
809	936	1170	862
414	574	574	1116
196	193	275	410
463	543	433	602
659	574	682	671
499	581	637	762
267	320	357	587
430	495	565	413
458	491	593	638
285	464	363	423
348	209	484	237
482	223	382	548
75	131	99	121
179	259	264	339
442	718	622	471
535	510	786	823
75	135	126	60
309	329	235	296
298	404	405	398
94	210	124	85
624	733	777	757
556	844	879	1053
1269	1325	1414	1587
849	707	1165	920
292	290	336	235
661	558	803	786
50	33	107	76
173	304	268	155
274	190	307	202
50	29	107	29
483	508	517	595
64	69	136	28
401	660	553	412
624	943	896	888
411	425	503	695
158	63	200	260
209	263	281	182
421	289	442	645
1081	533	1325	615
428	755	604	490
212	131	247	251
948	779	773	972
516	398	616	523
243	323	321	295
478	369	568	779
527	797	745	785
181	188	273	235
250	310	344	374
1601	1885	1822	3193
242	213	322	169
246	249	209	216
118	46	131	99
107	328	183	102
280	518	310	486
310	405	446	267
155	319	266	300
294	319	282	299
483	609	523	628
295	190	283	511
196	490	254	288
316	387	431	276
68	258	51	152
588	404	615	335
450	347	460	1183
422	250	312	216
226	306	283	222
478	711	631	536
137	160	200	846
577	690	623	624
274	449	374	368
474	443	512	634
103	159	208	99
197	218	307	244
126	24	116	158
300	202	309	366
828	1056	1035	1132
188	303	219	145
283	311	274	413
54	13	82	58
172	127	152	311
327	306	367	334
303	274	315	267
267	445	425	273
487	628	520	561
135	78	138	210
146	259	235	82
162	92	270	138
910	742	983	1118
394	689	586	407
365	484	474	593
166	245	193	281
303	229	438	362
321	354	358	343
271	430	378	666
821	983	926	1461
219	310	178	215
98	250	101	218
215	346	269	146
512	722	512	574
300	362	369	338
333	611	458	586
348	301	404	382
357	209	419	697
183	184	213	640
77	72	90	368
277	284	367	250
566	792	765	639
155	159	157	98
745	573	717	876
784	942	1071	911
98	17	215	107
523	931	478	368
167	296	188	196
373	265	375	535
716	914	713	864
599	603	865	514
896	1208	1101	1179
199	308	221	202
805	845	1053	972
234	228	198	202
271	292	381	472
250	177	248	622
176	311	207	177
167	243	133	194
254	325	460	420
911	749	1119	1317
703	1110	746	854
519	655	555	606
138	88	179	300
782	623	841	1087
625	572	637	685
104	149	148	285
317	326	281	271
343	304	378	444
266	341	362	324
280	537	291	715
835	1091	1234	2052
284	327	423	371
55	68	86	61
450	518	395	584
93	160	179	217
157	242	161	76
115	155	146	122
154	231	228	137
286	541	333	362
406	89	569	104
178	74	267	139
374	588	479	647
258	402	335	440
644	644	755	615
575	792	687	616
54	162	96	317
675	811	788	892
199	448	334	284
1067	1148	1129	1602
586	514	675	659
752	578	849	761
412	362	446	953
483	965	562	726
531	574	723	771
176	101	245	185
598	715	703	789
149	223	129	103
777	637	926	692
216	287	251	184
205	312	192	181
528	483	532	676
768	823	833	1088
596	896	813	834
609	978	698	647
547	557	545	470
657	899	835	942
230	112	291	274
262	261	347	504
724	1004	1067	1119
626	699	776	943
273	391	354	351
138	69	146	206
474	691	625	573
175	311	176	79
243	461	327	301
71	36	100	102
117	207	160	139
343	349	400	939
232	204	235	193
1016	1283	1278	982
117	217	95	125
249	298	194	120
391	266	308	195
460	334	539	635
233	337	254	138
987	881	1054	1327
239	280	360	269
218	106	272	565
154	30	163	34
130	260	188	83
310	384	323	337
206	43	236	76
90	32	70	113
336	374	406	412
576	551	743	580
375	485	559	479
344	700	415	528
982	1232	1027	1133
938	908	870	781
308	423	369	487
316	342	240	397
507	910	584	692
544	909	733	435
559	613	668	700
110	219	191	225
508	468	402	678
1016	1361	1204	1243
980	1417	1254	1105
322	337	365	439
404	943	501	603
260	255	330	267
281	182	309	487
641	912	632	706
190	174	266	293
383	465	531	283
72	15	148	96
231	100	322	290
600	274	670	597
224	50	225	286
640	570	894	881
485	1011	532	558
583	1171	722	1146
415	619	576	692
563	710	633	748
257	223	432	547
1098	1110	1390	1461
65	143	117	77
592	990	618	377
415	415	492	547
550	491	590	393
1816	3075	2127	1933
283	437	315	335
349	243	356	335
297	616	450	511
38	100	49	69
399	427	400	412
290	643	378	366
129	26	119	74
440	441	562	636
409	552	483	498
321	265	366	413
514	616	618	426
68	23	144	78
704	1291	901	959
432	705	550	321
167	179	345	279
161	124	192	190
109	57	119	80
678	1047	845	705
350	707	403	433
503	969	725	699
77	184	193	144
351	124	281	438
186	384	201	153
298	344	371	435
550	569	675	521
189	199	181	193
311	297	367	411
507	674	599	533
286	349	273	464
1156	1023	1581	1602
424	736	626	704
112	80	115	24
